Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
2010   51.7   54.0  115.7  215.5  213.0  229.8  191.3  145.3  129.1  105.6   54.8   41.5   170.7   544.3   566.4   289.5  1547.4
2011   40.6   39.3  113.5  215.8  233.0  208.9  165.0  152.6  174.7  152.1   64.2   66.7   121.4   562.3   526.4   390.9  1626.3
2012   72.1   83.6  155.6  136.8  170.1  146.4  171.9  188.9  179.0   92.0   74.5   51.3   222.3   462.4   507.2   345.5  1522.1
2013   51.0   59.5   66.8  193.5  193.4  169.4  263.3  217.1  144.2   93.1   76.4   62.4   161.8   453.6   649.8   313.6  1590.0
2014   64.5  102.2  157.7  155.7  185.3  211.1  229.0  200.1  132.4  113.3   52.2   79.6   229.1   498.7   640.2   297.9  1683.1
2015   71.6   88.3  144.6  215.8  193.4  227.5  202.9  163.5  170.7   97.9   41.7   44.2   239.5   553.8   593.9   310.3  1662.1
2016   54.2   93.5  129.0  175.7  203.8  132.0  226.5  240.5  140.9  105.3   86.5   53.5   191.9   508.4   599.0   332.8  1641.3
2017   67.3   56.3  127.9  182.8  183.4  210.2  188.5  191.5  124.1   89.3   86.6   60.6   177.0   494.1   590.2   300.0  1568.4
2018   62.3   99.1   75.6  125.0  256.6  241.1  282.5  200.8  176.8  158.4   85.0   52.5   222.0   457.3   724.3   420.2  1815.8
2019   60.1  137.2  133.3  192.1  209.2  177.0  205.1  241.7  178.1   82.5   54.9   66.4   249.8   534.6   623.8   315.6  1737.6
2020   59.7   90.4  166.4  249.0  309.3  216.1  179.6  182.2  176.9   62.9   72.5   46.1   216.5   724.7   577.8   312.3  1811.0
2021   43.7   75.9  110.6  217.5  171.3  205.9  182.6  127.3  155.0   99.6   85.2   27.3   165.7   499.4   515.8   339.7  1501.8
2022   96.0   96.3  182.1  206.7  188.1  248.3  235.0  256.8  138.4  150.6   58.8   64.7   219.7   576.9   740.2   347.8  1922.0
2023   79.6  104.6   78.6  184.5  211.7  260.5  171.3  201.4  175.3  107.9   89.2   30.6   248.8   474.9   633.2   372.4  1695.2
2024   80.1   59.5   98.2  142.4  195.4  234.5  200.4  222.8  142.3  104.6   58.7   29.8   170.2   436.0   657.7   305.6  1568.7
2025   73.5   69.5  222.0  269.2  252.8  276.8  212.1  211.0  183.1   76.9   71.9   70.8   172.8   744.1   699.9   331.9  1989.7
2026   62.2   44.5  155.5  248.5                                                           177.6                                
