Substation/Group,Voltage,Scenario,Year,Financial Year,Headroom (MW),Headroom Type,GSP,Primary_Substation
INVERKIP ROAD,11.0,HT,2035,2035/36,13.87631600715885,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2037,2037/38,13.1286853181797,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2038,2038/39,12.73205014027217,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2044,2044/45,11.09266386520007,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2045,2045/46,10.9391047626756,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2047,2047/48,10.70407618673618,Demand,SPANGO VALLEY,INVERKIP ROAD
INVERKIP ROAD,11.0,HT,2049,2049/50,10.48920001454866,Demand,SPANGO VALLEY,INVERKIP ROAD
IRVINE,11.0,EE,2035,2035/36,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2036,2036/37,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2037,2037/38,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2039,2039/40,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2040,2040/41,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2041,2041/42,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2047,2047/48,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,EE,2048,2048/49,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HE,2038,2038/39,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HE,2039,2039/40,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HE,2040,2040/41,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HE,2044,2044/45,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2028,2028/29,3.340379919148937,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2029,2029/30,3.250553661093441,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2030,2030/31,2.701239639775544,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2031,2031/32,2.280589500915706,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2032,2032/33,1.759335306744738,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2036,2036/37,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2038,2038/39,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2039,2039/40,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2044,2044/45,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2045,2045/46,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2046,2046/47,0.0,Demand,KILWINNING,IRVINE
